index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
129,"['V14', 'V12', 'V6', 'V9', 'V27', 'V22', 'V1']",7,2,-95.07895918835567,0.9631539611360239,"(0.47058823529411764,)","(0.4835164835164835,)","(0.4583333333333333,)",0.9436493506704551,"(0.39228295819935693,)","(0.4080267558528428,)","(0.37770897832817335,)"
130,"['V25', 'V23', 'V16', 'V19', 'V21', 'V26']",6,4,-23.94227480113539,0.9256433365573435,"(0.40566037735849064,)","(0.3706896551724138,)","(0.4479166666666667,)",0.908793063203473,"(0.3395638629283489,)","(0.34169278996865204,)","(0.33746130030959753,)"
131,"['V8', 'V25', 'V12', 'V10', 'V20', 'V13', 'V9', 'V3']",8,4,-34.4464355415738,0.9408383158943697,"(0.5,)","(0.4435483870967742,)","(0.5729166666666666,)",0.9454152364681527,"(0.4428152492668622,)","(0.4206128133704735,)","(0.4674922600619195,)"
132,"['V15', 'V11', 'V9', 'V6', 'V5', 'V28', 'V3']",7,1,-139.13597465621118,0.9246836440106684,"(0.2576687116564417,)","(0.31343283582089554,)","(0.21875,)",0.8989240254302163,"(0.17293233082706766,)","(0.22009569377990432,)","(0.14241486068111456,)"
133,"['V8', 'V16', 'V7', 'V19', 'V11', 'V5']",6,4,-27.86040813755926,0.943401037545063,"(0.4285714285714286,)","(0.42,)","(0.4375,)",0.9407690873504748,"(0.39807383627608345,)","(0.41333333333333333,)","(0.38390092879256965,)"
134,"['V2', 'V16', 'V10', 'V9', 'V5', 'V22', 'V17', 'V24']",8,1,-148.72491187193577,0.9561672015592486,"(0.4772727272727273,)","(0.525,)","(0.4375,)",0.9412562317263271,"(0.4114490161001789,)","(0.4872881355932203,)","(0.3560371517027864,)"
135,"['V2', 'V10', 'V9', 'V27', 'V28', 'V1', 'V17', 'V3']",8,7,-48.5853535238248,0.9730897740262024,"(0.4482758620689655,)","(0.5,)","(0.40625,)",0.9555882745799543,"(0.386986301369863,)","(0.4329501915708812,)","(0.3498452012383901,)"
136,"['V2', 'V14', 'V16', 'V19', 'V20', 'V1']",6,5,-33.74012526314104,0.9714436970602891,"(0.6179775280898876,)","(0.6707317073170732,)","(0.5729166666666666,)",0.9612035525185381,"(0.5197934595524958,)","(0.5852713178294574,)","(0.4674922600619195,)"
137,"['V2', 'V12', 'V7', 'V10', 'V19', 'V6', 'V3']",7,1,-307.4073828332896,0.9495801459597292,"(0.37681159420289856,)","(0.6190476190476191,)","(0.2708333333333333,)",0.939540387205563,"(0.2977777777777778,)","(0.5275590551181102,)","(0.20743034055727555,)"
138,"['V14', 'V4', 'V5', 'V27', 'V1', 'V28', 'V3']",7,4,-38.22077137762585,0.9658366672528503,"(0.47337278106508873,)","(0.547945205479452,)","(0.4166666666666667,)",0.954257313988306,"(0.3740740740740741,)","(0.46543778801843316,)","(0.3126934984520124,)"
139,"['V8', 'V2', 'V23', 'V16', 'V12', 'V27', 'V21', 'V1']",8,3,-53.81887059810089,0.9300970500307748,"(0.40625,)","(0.40625,)","(0.40625,)",0.9361529931543968,"(0.35015772870662465,)","(0.35691318327974275,)","(0.34365325077399383,)"
140,"['V25', 'V5', 'V27', 'V22', 'V1', 'V28']",6,4,-24.308623257068657,0.8878493288197192,"(0.14857142857142858,)","(0.16455696202531644,)","(0.13541666666666666,)",0.888514384387671,"(0.06896551724137931,)","(0.07782101167315175,)","(0.06191950464396285,)"
141,"['V15', 'V4', 'V13', 'V9', 'V5', 'V21', 'V1']",7,2,-93.85662683784231,0.9038175210293384,"(0.16129032258064516,)","(0.16666666666666666,)","(0.15625,)",0.8928608721995208,"(0.10638297872340424,)","(0.12448132780082988,)","(0.09287925696594428,)"
142,"['V8', 'V23', 'V16', 'V7', 'V4', 'V21']",6,3,-62.04157619621422,0.9449078958937835,"(0.35616438356164387,)","(0.52,)","(0.2708333333333333,)",0.9364899131813162,"(0.3076923076923077,)","(0.5303030303030303,)","(0.21671826625386997,)"
143,"['V2', 'V25', 'V10', 'V19', 'V9', 'V5', 'V27', 'V1']",8,6,-41.373943440060344,0.9537229989155602,"(0.3246753246753247,)","(0.43103448275862066,)","(0.2604166666666667,)",0.9411882647157752,"(0.27467811158798283,)","(0.44755244755244755,)","(0.19814241486068113,)"
144,"['V2', 'V25', 'V23', 'V10', 'V4', 'V13', 'V22', 'V24']",8,7,-35.24401329543051,0.9527889519036314,"(0.3636363636363636,)","(0.4,)","(0.3333333333333333,)",0.9436376235550037,"(0.3098106712564544,)","(0.3488372093023256,)","(0.2786377708978328,)"
145,"['V2', 'V14', 'V19', 'V9', 'V6', 'V1']",6,6,-29.98070914142648,0.9781968990884844,"(0.5562130177514792,)","(0.6438356164383562,)","(0.4895833333333333,)",0.9535648110678774,"(0.49825783972125437,)","(0.5697211155378487,)","(0.44272445820433437,)"
146,"['V14', 'V19', 'V11', 'V20', 'V21', 'V3', 'V24']",7,4,-38.78904959978136,0.9719571573023829,"(0.45454545454545453,)","(0.5,)","(0.4166666666666667,)",0.9640177921785266,"(0.3920863309352518,)","(0.4678111587982833,)","(0.33746130030959753,)"
