index,features,n_features_in_,n_components,optimum_tr,auc_val,f1_val,prec_val,rec_val,auc_train,f1_train,prec_train,rec_train
282,"['V10', 'V19', 'V11', 'V17', 'V5', 'V22', 'V28', 'V24']",8,6,-28.943711485819016,0.9626143058120109,"(0.5527638190954773,)","(0.5339805825242718,)","(0.5729166666666666,)",0.9537056369714269,"(0.4875776397515528,)","(0.48909657320872274,)","(0.48606811145510836,)"
283,"['V2', 'V19', 'V18', 'V1', 'V28', 'V3']",6,3,-36.88965092150306,0.9490947126234649,"(0.31952662721893493,)","(0.3698630136986301,)","(0.28125,)",0.9366545451292323,"(0.24416517055655293,)","(0.2905982905982906,)","(0.21052631578947367,)"
284,"['V2', 'V14', 'V16', 'V12', 'V7', 'V3']",6,1,-144.5138967862289,0.9581697514581319,"(0.5635359116022098,)","(0.6,)","(0.53125,)",0.9566012293066042,"(0.4620573355817875,)","(0.5074074074074074,)","(0.4241486068111455,)"
285,"['V23', 'V7', 'V4', 'V10', 'V18', 'V20', 'V13', 'V6']",8,6,-33.34454585375769,0.9626721914475805,"(0.37696335078534027,)","(0.37894736842105264,)","(0.375,)",0.9490702935529864,"(0.31921824104234525,)","(0.33676975945017185,)","(0.30340557275541796,)"
286,"['V10', 'V4', 'V18', 'V6', 'V9', 'V28']",6,4,-30.90455928749422,0.9659892581845893,"(0.40229885057471265,)","(0.44871794871794873,)","(0.3645833333333333,)",0.9402210457393857,"(0.336283185840708,)","(0.3925619834710744,)","(0.29411764705882354,)"
287,"['V8', 'V4', 'V9', 'V5', 'V6', 'V26']",6,3,-28.58145408106952,0.9282514874410152,"(0.20689655172413793,)","(0.17647058823529413,)","(0.25,)",0.9071282986470109,"(0.18132611637347765,)","(0.16105769230769232,)","(0.20743034055727555,)"
288,"['V2', 'V14', 'V23', 'V4', 'V22', 'V28', 'V3', 'V24']",8,2,-42.25753347153221,0.9616732978692226,"(0.3923444976076555,)","(0.36283185840707965,)","(0.4270833333333333,)",0.9515972021313932,"(0.3251088534107402,)","(0.30601092896174864,)","(0.34674922600619196,)"
289,"['V16', 'V10', 'V12', 'V9', 'V6', 'V28', 'V3', 'V26']",8,7,-35.32547076937383,0.9506336278906181,"(0.6033519553072625,)","(0.6506024096385542,)","(0.5625,)",0.9382739425019194,"(0.52,)","(0.5631768953068592,)","(0.48297213622291024,)"
290,"['V10', 'V19', 'V9', 'V5', 'V1', 'V3', 'V24', 'V26']",8,7,-42.31816111110098,0.9489952445851285,"(0.36764705882352944,)","(0.625,)","(0.2604166666666667,)",0.9357983316771017,"(0.29594272076372313,)","(0.6458333333333334,)","(0.19195046439628483,)"
291,"['V14', 'V7', 'V13', 'V6', 'V1', 'V17']",6,5,-29.7579165522617,0.9744233418329964,"(0.5833333333333334,)","(0.5833333333333334,)","(0.5833333333333334,)",0.963754937262194,"(0.5216000000000001,)","(0.5397350993377483,)","(0.5046439628482973,)"
292,"['V14', 'V25', 'V16', 'V20', 'V27']",5,1,-74.7179868814527,0.9651242709340837,"(0.34351145038167935,)","(0.2710843373493976,)","(0.46875,)",0.9556285655980411,"(0.2959309494451295,)","(0.2459016393442623,)","(0.3715170278637771,)"
293,"['V8', 'V15', 'V23', 'V4', 'V19', 'V20', 'V27', 'V17']",8,3,-51.62329799998357,0.9659018801840615,"(0.4333333333333333,)","(0.4642857142857143,)","(0.40625,)",0.9534369352503905,"(0.37894736842105264,)","(0.43724696356275305,)","(0.33436532507739936,)"
294,"['V15', 'V23', 'V16', 'V11', 'V6', 'V28', 'V3']",7,5,-27.58351306247801,0.9468461487734106,"(0.45370370370370366,)","(0.4083333333333333,)","(0.5104166666666666,)",0.9381978335226397,"(0.38971583220568334,)","(0.34615384615384615,)","(0.4458204334365325,)"
295,"['V2', 'V25', 'V23', 'V16', 'V12', 'V4', 'V20']",7,7,-28.52411765202261,0.9509153624080424,"(0.5463917525773196,)","(0.5408163265306123,)","(0.5520833333333334,)",0.9469274144995699,"(0.49358974358974367,)","(0.5116279069767442,)","(0.47678018575851394,)"
296,"['V8', 'V25', 'V19', 'V20', 'V1', 'V26']",6,1,-129.82503404698312,0.8430498769014332,"(0.12290502793296088,)","(0.13253012048192772,)","(0.11458333333333333,)",0.8222351570444204,"(0.04805914972273568,)","(0.05963302752293578,)","(0.04024767801857585,)"
297,"['V15', 'V25', 'V7', 'V6', 'V27', 'V1', 'V17']",7,5,-29.575354370466044,0.9557924103871743,"(0.4827586206896552,)","(0.5384615384615384,)","(0.4375,)",0.9463014378297947,"(0.4145454545454546,)","(0.5022026431718062,)","(0.35294117647058826,)"
298,"['V2', 'V4', 'V5', 'V28', 'V27', 'V17', 'V26']",7,3,-43.28167883380324,0.9701220361089129,"(0.4831460674157303,)","(0.524390243902439,)","(0.4479166666666667,)",0.9488913712772419,"(0.4222972972972973,)","(0.4646840148698885,)","(0.38699690402476783,)"
299,"['V15', 'V16', 'V12', 'V17', 'V20', 'V6', 'V28']",7,3,-26.012995731423338,0.9701839517570856,"(0.5361702127659574,)","(0.45323741007194246,)","(0.65625,)",0.9565233780130289,"(0.4721141374837873,)","(0.40625,)","(0.5634674922600619,)"
